dt,V1多头全A,V2市场中性,V3中证800指增,中证500,中证800
2018-01-31,0.9561536860848631,0.9824038267357946,0.9463360828878415,0.9732339840380421,0.9490421978989557
2018-02-28,0.973862208158583,0.9687082088267944,0.9261800984988156,0.9879465358266737,0.9307483639275668
2018-03-30,0.9286404007371255,0.9556979030889945,0.8828795979706429,0.9469479868696846,0.8956617218164112
2018-04-27,0.9039317874995207,0.9533478386625247,0.8774512421993681,0.9297395312360396,0.8993539753778638
2018-05-31,0.8008078884398471,0.9330232657618148,0.813325737569541,0.8430241604073843,0.8266075662240013
2018-06-29,0.8082340810772791,0.9490070655477093,0.8055411073297388,0.8383310921146532,0.8266336937406527
2018-07-31,0.7521353807612068,0.9514799489015002,0.7472339874321119,0.7779219144655303,0.7794852835673814
2018-08-31,0.7541766532561074,0.9633249130066222,0.7582055559918892,0.7756446122454718,0.7973493198898551
2018-09-28,0.6827567617494869,0.9661472500455274,0.6880432222615955,0.6903080634917352,0.7260965337712306
2018-10-31,0.7295134500956897,0.984172122303746,0.7021030838009183,0.7071271400299322,0.7335522383770111
2018-11-30,0.6971387903624041,0.9775791808998725,0.6763719882549084,0.6734216130602596,0.6967200604242371
2018-12-28,0.6978642422479681,0.9904251508544868,0.7036649786514354,0.6747849245985962,0.7305336392865535
2019-01-31,0.8319053132463963,0.9906398898994044,0.8192875285761481,0.8119266655367671,0.8469421769751697
2019-02-28,0.9190242439845191,1.0007383773417509,0.8868023527941283,0.8963241805549248,0.9037079082985133
2019-03-29,0.9026201031926665,1.013625605997774,0.8779699659853887,0.8575323285629276,0.9011188891276658
2019-04-30,0.8421825927398575,0.9962455332207866,0.8117335351019247,0.7936226166889171,0.835400346494417
2019-05-31,0.856050298468008,1.012567647637328,0.8440681297763928,0.7998395952008457,0.8712083257944564
2019-06-28,0.848194823544307,1.0207077071356863,0.837616338827667,0.7922011406383973,0.8709494456503023
2019-07-31,0.8252218063189901,0.9937511303310888,0.8293376015498997,0.7895014994326534,0.8640278310307374
2019-08-30,0.8396311603229195,1.0009596884327252,0.8255308377116072,0.7982922576086855,0.8688899441502561
2019-09-30,0.8443469239820637,1.000972835788769,0.834863973261305,0.7944976694610943,0.8804964402347212
2019-10-31,0.833903327167114,1.0070307099331448,0.8394961649887257,0.7908664266518841,0.8694523389461773
2019-11-29,0.9047090097091394,1.017041152539082,0.9113252013650682,0.8510860849321437,0.9315620183419526
2019-12-31,0.9132908449938458,1.0040872805991743,0.8876136438576511,0.8688713386449379,0.9201116341694796
2020-01-23,0.9131818244495045,0.9761479116472325,0.8888325225550151,0.8807545100520393,0.9121362097116419
2020-02-28,0.8879829481207442,1.009718644314838,0.8385373924775926,0.8145379289976105,0.8509083340028513
2020-03-31,0.9026638876671162,0.9846669314327755,0.8767719078764002,0.8650129311020346,0.9032911744079236
2020-04-30,0.9171065561404717,0.978006857569778,0.8688274483543079,0.8734920244336187,0.8975942871313928
2020-05-29,0.9716487215123448,0.9623553109038118,0.9614894211500308,0.9475024885524967,0.9682781465749333
2020-06-30,1.1104929816215672,0.9916803568685287,1.094739726681369,1.063064710766461,1.090431254257969
2020-07-31,1.156581835040986,1.0210268453343256,1.1391739839106463,1.0774059790856567,1.115238460401245
2020-08-31,1.0765571104503777,1.0209527131275433,1.0770899839387322,1.0005112014348536,1.055699728643967
2020-09-30,1.0575021385716186,1.0145860463608596,1.080116942610351,0.987420146991416,1.0712018374611547
2020-10-30,1.1025551662490893,1.040966381949808,1.1622381955094716,1.0212628452689874,1.1260617841740845
2020-11-30,1.0681071413967758,1.003021462419158,1.2093765097858638,1.0287226055245622,1.1717947361327665
2020-12-31,1.0153021964086795,0.9951187043507038,1.2564932614690987,1.02533323014518,1.1954982724268264
2021-01-29,1.0625600476640062,1.036478129369432,1.2527022098740443,1.028276354461646,1.1935983665076593
2021-02-26,1.0971733091308338,1.072492671629104,1.2119661164955868,1.0104581408586144,1.1387048894816933
2021-03-31,1.109507365095218,1.0694513615481298,1.2633066178879737,1.047883449950487,1.1613504790806775
2021-04-30,1.165436466927469,1.0596766789857968,1.3113418607267953,1.0871902194433942,1.2076895894256718
2021-05-31,1.2038108047978786,1.0568058130960531,1.331370035212526,1.099985119578966,1.1919963142783183
2021-06-30,1.1842013181389457,1.0147456736147922,1.2186318232866618,1.093382316469556,1.117184960391774
2021-07-30,1.2462671499671563,1.0105603098966065,1.203070189584848,1.1722317448658908,1.1352469126528821
2021-08-31,1.2633932987813006,1.0581150979260991,1.2187190642582528,1.1477163723892412,1.1400735358956162
2021-09-30,1.2402844704565519,1.0389601401935256,1.221676281499062,1.1346117462262941,1.1444107036597473
2021-10-29,1.3430405953165758,1.0430289724309276,1.2211081211080923,1.1718137682186194,1.1398420896439456
2021-11-30,1.4252589480520776,1.1094980671935566,1.2757376933749809,1.1890445202486013,1.1629401207396095
2021-12-31,1.3104773654608832,1.1396286682199988,1.1512320481374647,1.063203659323343,1.066005292128498
2022-01-28,1.3715568549197634,1.1284048526888342,1.16428448158602,1.1072758796130313,1.079560900955157
2022-02-28,1.309371556434493,1.1583877408062175,1.0957150434884422,1.0219118642840974,0.9952931278752519
2022-03-31,1.1288539581570538,1.146729691215936,1.018049029908886,0.9092893734567218,0.9319426091678411
2022-04-29,1.241968698117775,1.1542651394895824,1.0535931734114912,0.9736475983468998,0.9605106536037795
2022-05-31,1.3392324241457456,1.1432792364479094,1.1435504705935635,1.0427730512828424,1.0470016606214128
2022-06-30,1.3693220678742988,1.149648474492031,1.0764531537415056,1.0169279734304506,0.9848582331832962
2022-07-29,1.339075635303032,1.172042904722206,1.0544356607355239,0.9945721200366888,0.9632799526395217
2022-08-31,1.230838798634989,1.1669665712278041,0.9798116074246626,0.9232102416073051,0.8974878175010382
2022-09-30,1.2788329968586345,1.1828929892245026,0.954885083618616,0.9382430213491225,0.8484636693615024
2022-10-31,1.3850636186693752,1.2311937517708644,1.0341241069437288,0.9946369088405373,0.9231711663693575
2022-11-30,1.3383297020451188,1.235943074678339,1.020031692917006,0.9475107285250562,0.9150468150666068
2022-12-30,1.456824207901469,1.2553833587426944,1.0913040505218428,1.0161259494346815,0.9821675344268138
2023-01-31,1.5076335961097929,1.2729949253247135,1.0823356806208113,1.027174783228134,0.9694804477995081
2023-02-28,1.4899633197944249,1.2677553645133721,1.0885601705267713,1.0243122813882772,0.9655114602908561
2023-03-31,1.4482995917649817,1.253461412416988,1.0675660274765504,1.0083858685440017,0.957748321905811
2023-04-28,1.45161041476557,1.2792262599767568,1.0373010005054724,0.9771318141947584,0.9094609697358446
2023-05-31,1.4783794880540222,1.2934276684205226,1.0449358411977263,0.9692031833437518,0.91522622401428
2023-06-30,1.5059347093295807,1.3291120536668783,1.0664442465112602,0.9836657892980851,0.9490095385031421
2023-07-31,1.4468694616082125,1.3453516743819596,1.0116114287447908,0.9273035691521924,0.8912453005851044
2023-08-31,1.45427134137257,1.354119788305837,0.9916692885610762,0.9194468361009678,0.8760072974154012
2023-09-28,1.4144066694963473,1.3348331434262126,0.9543585807307664,0.8931870129630923,0.8489472461488589
2023-10-31,1.5249183438581124,1.4152107960373665,0.9430085635046671,0.8959031341139547,0.8362451361994788
2023-11-30,1.4948627146706224,1.42246970981948,0.9225606997654651,0.8771901564318396,0.8201270711772346
2023-12-29,1.2723929716034632,1.433586236194723,0.8626072199022727,0.7588820845385637,0.7526878138431862
2024-01-31,1.3660086526013235,1.393861512357996,0.9534884094967446,0.863871129414262,0.8316236139624583
2024-02-29,1.4189036312174184,1.4235047651517954,0.9401112988339506,0.8540749330179092,0.8329060395714308
2024-03-29,1.429415102968154,1.4185716934646104,0.9758748088415825,0.8791147555127433,0.8508889560946683
2024-04-30,1.4054808972604713,1.4229315686159039,0.9803342433403559,0.8576906652905372,0.8412291777300375
2024-05-31,1.2984438894809187,1.4150193722269413,0.9487114366987592,0.7985958440486635,0.8056746353415164
2024-06-28,1.2931521980626393,1.407945342208795,0.9385198763859056,0.7894885739855015,0.7999594588033296
2024-07-31,1.2438178144825116,1.4146800666210007,0.8980201463464091,0.7495327854774843,0.7688163298720909
2024-08-30,1.5323185280262244,1.460075263606199,1.0832570750612156,0.9279205976856013,0.9353831676522187
2024-09-30,1.6576088363089236,1.4879129109731843,1.0554184411835978,0.9534601502809423,0.9197205923369305
2024-10-31,1.7464978805178581,1.5495999848261492,1.0408536350077389,0.9454866035010833,0.922161120121476
2024-11-29,1.687381739740132,1.5429948216380847,1.0482791667632632,0.925095579642485,0.9202056932294247
2024-12-31,1.678094480017547,1.5557511836792661,1.029305542174848,0.9030594694976408,0.8940842729985838
2025-01-27,1.7930686394372046,1.563284699554835,1.060575674394589,0.9467681615861846,0.9178655386546817
2025-02-28,1.8149464602488068,1.5882982031240416,1.063785426847688,0.9464290301665391,0.9173009665657059
2025-03-31,1.7559126642487448,1.5930840476234527,1.0186633088390742,0.909923205071428,0.8877152553561957
2025-04-30,1.8279757433989579,1.637731909345288,1.0345927552507523,0.9162642678760141,0.9014705219559325
2025-05-30,1.9346657362648518,1.6538885030153703,1.056415282901584,0.9557379372052689,0.9281704489512963
2025-06-30,2.062468858848611,1.6923395355359305,1.108160639958947,1.005978342443888,0.9652083810977
2025-07-31,2.229931426614985,1.6586612396853604,1.2249129661049865,1.138076250767246,1.0720701419312026
2025-08-29,2.2332648551764653,1.6318554055969687,1.244792155890264,1.1976021356716324,1.1122189903935658
2025-09-30,2.275471128922496,1.6717109556438259,1.2520138930354705,1.1844561480777998,1.108891651148011
2025-10-31,2.2564243579466763,1.6867426205051594,1.2063731738513053,1.136074260571521,1.0767776672438676
2025-11-28,2.2811204824810583,1.650712917115496,1.2421181558947851,1.206198527436119,1.1124171240615057
2025-12-31,,,1.2404536180053578,,
