dt,LGB,质量,混合,混合+降仓
2018-01-31,0.9448514851137595,0.9512470970551976,0.9499094028126606,0.9499094028126606
2018-02-28,1.0454775551447262,0.9762810402230407,1.0126840042164198,1.0126840042164198
2018-03-30,1.0054771316051172,0.933073238834871,0.9700036042101081,0.9700036042101081
2018-04-27,1.0270515385844314,0.9526258503108085,0.9968693568789739,0.9879278404505147
2018-05-31,0.9249738457956814,0.868501799466346,0.9096156731756061,0.9211044397207024
2018-06-29,0.9408825663865433,0.8768292509225327,0.9227554865124586,0.9303297029236502
2018-07-31,0.8670887226368776,0.8180987926961365,0.8560259665734817,0.8795196710400927
2018-08-31,0.8723691857783213,0.8243737774379072,0.8598931357995657,0.88234473388148
2018-09-28,0.8050429403202722,0.7487306247443312,0.7812627247765493,0.8099413990331523
2018-10-31,0.8819115196896081,0.7896162618956436,0.8364392658270245,0.8547621603472498
2018-11-30,0.8585092810863828,0.7599477515325628,0.8122394829079314,0.8386594726757763
2018-12-28,0.842933189302696,0.7604747795660581,0.8117911185588363,0.8383241884350617
2019-01-31,1.0380045700930118,0.9038069303073394,0.9737078264514861,0.9620873567628133
2019-02-28,1.153624563666266,0.986329384247084,1.0708262280617133,1.003616496802795
2019-03-29,1.1227711991693958,0.9648880231838194,1.055025457871892,0.9974226758271127
2019-04-30,1.107065769879428,0.911107929662264,1.0111059664620217,0.9768278123104773
2019-05-31,1.1275463292450516,0.9207807744845307,1.030380586351269,0.9853334010315515
2019-06-28,1.1231168629021908,0.9055411692184847,1.0214262732857518,0.9812219047029502
2019-07-31,1.0976994243792875,0.8894225464834135,0.9982038149503154,0.97061079230067
2019-08-30,1.119040262426789,0.9050251548753954,1.0175156196173665,0.9867478508570628
2019-09-30,1.1226676965702513,0.902414237606611,1.0184226768252393,0.9876274803519001
2019-10-31,1.0985231606984769,0.8932809596577386,1.0022012454900016,0.9718965547530474
2019-11-29,1.1848711660161666,0.9636696319946525,1.0794761128533183,1.0468347746937803
2019-12-31,1.1689287782781832,0.9573120546300589,1.0705317853442895,1.0381609069155002
2020-01-23,1.1556310266549705,0.9328132649122505,1.0378207584486598,1.0064390002771255
2020-02-28,1.1765835168106462,0.8956757124026523,1.0199342538635596,0.9890933501284529
2020-03-31,1.212838285689554,0.9059686162633778,1.0405726205919799,1.0091076512574388
2020-04-30,1.2570120862670922,0.9194536740014116,1.0700112114555331,1.0376560742072458
2020-05-29,1.337553986829421,0.9799171824756021,1.1441145115941243,1.1095186291827337
2020-06-30,1.5361841687474613,1.123652248824692,1.3316950367372271,1.2914270701727601
2020-07-31,1.6313741038752292,1.160964107975103,1.392830589151783,1.3277358995700537
2020-08-31,1.5369119373500133,1.0896144496606737,1.3001417213871578,1.266046557377727
2020-09-30,1.5621601624534578,1.0877149410475069,1.3109285080376123,1.2721179189380112
2020-10-30,1.5927838117127202,1.1248506838837713,1.348393143408285,1.2928835929294331
2020-11-30,1.5462338852085447,1.0823200428392399,1.3029751147244506,1.2680062260739415
2020-12-31,1.4163429191102446,1.0200777212539163,1.2106430218619382,1.2192640037465416
2021-01-29,1.4410761817133666,1.0717641593201948,1.2526697098295232,1.2562493561260406
2021-02-26,1.4716286568393135,1.12109683884297,1.2863921348523601,1.2874348578751484
2021-03-31,1.532425135263339,1.1413960891176471,1.3208685380989662,1.3219392069855656
2021-04-30,1.6132372493295537,1.1847261428907119,1.360116289669279,1.3607659322724888
2021-05-31,1.6998548873868151,1.2010871230395672,1.3870217407748007,1.3872894166962824
2021-06-30,1.6824417070212827,1.1521688353087436,1.3431259882243118,1.3433851928755403
2021-07-30,1.7720435120560558,1.2048731682700498,1.4013572129031857,1.4016276553715779
2021-08-31,1.6782984865595325,1.231436503666601,1.3943802964468253,1.3946493924672947
2021-09-30,1.664846708329255,1.1883374640098439,1.3553010524765667,1.3555626067460074
2021-10-29,1.8696603881408447,1.278769863578667,1.487411829585846,1.4876988793994161
2021-11-30,1.8754172001025422,1.3586656459246125,1.5595739712195116,1.5513621255350616
2021-12-31,1.6865177418931105,1.2617484798113192,1.4314022141661749,1.4429050644669026
2022-01-28,1.7340139364576792,1.2960317509510566,1.46727834952602,1.4674314239097164
2022-02-28,1.6398525404956625,1.2580495265629765,1.4155531073138443,1.4315883509183176
2022-03-31,1.3958825079257315,1.1264817682148605,1.2643677400358158,1.329808638411462
2022-04-29,1.5856362345009662,1.2044594879760258,1.3735242494899242,1.392524148450876
2022-05-31,1.7356994018314738,1.2820896169534644,1.4746551973380944,1.450670329278733
2022-06-30,1.8586575326231172,1.267546605652836,1.5172089109082174,1.4731018104014426
2022-07-29,1.8169009140036152,1.2517254509505562,1.4876923541378106,1.4559342538799669
2022-08-31,1.6869920540996435,1.1674655256271151,1.3997946950260234,1.4048766731636515
2022-09-30,1.767422668792048,1.1767839728128926,1.4480237979397153,1.4324068237116578
2022-10-31,1.855328108828885,1.2953007566536152,1.5608822700613583,1.5198766066918217
2022-11-30,1.7676606812057987,1.2572701071722683,1.5094411004298522,1.4793006977808594
2022-12-30,1.9459498611594028,1.3422767264944784,1.6262775686320543,1.576905542467501
2023-01-31,2.032650245994366,1.396295296435988,1.7006414704441906,1.630161015477087
2023-02-28,1.999736414473507,1.3769064675763427,1.6795090862748099,1.614887226454071
2023-03-31,1.923036805957683,1.350654765100445,1.6433958823225205,1.5821679782821274
2023-04-28,1.9869019178372058,1.3199061510382866,1.642174814728063,1.5811642048813395
2023-05-31,2.0611828616043795,1.3350798917862707,1.6837195025878657,1.6211654110609424
2023-06-30,2.1501009976212027,1.3829863104090514,1.7406843510919114,1.676013883089178
2023-07-31,2.13076413410638,1.30793704204832,1.6842566856326877,1.6216826365075414
2023-08-31,2.1468763234375006,1.317650165607968,1.698667808689967,1.6355583528599953
2023-09-28,2.1622429745436573,1.2856243935738676,1.675014943160123,1.6127842462403819
2023-10-31,2.2980259916628736,1.4182353091057156,1.8078065114927322,1.7406422992774122
2023-11-30,2.3179498437534365,1.4635992410130532,1.8187447888830715,1.7511741942483696
2023-12-29,1.8516958418833354,1.274512597084139,1.5579354419543263,1.500054520530502
2024-01-31,1.7902835666385215,1.358129377873149,1.604868998204202,1.5268461961945379
2024-02-29,2.0001637799215275,1.364425234105455,1.6913895818722156,1.574582981978433
2024-03-29,1.9276852843072652,1.3794630230661282,1.7025374273327192,1.5803022018014565
2024-04-30,1.937187407509789,1.3628479667685847,1.699667713589488,1.5788270134616431
2024-05-31,1.7737191058148334,1.2561136218324482,1.5699590097043965,1.5036324392757057
2024-06-28,1.8098316418537572,1.2627419123526065,1.5684722141413625,1.5027994607677373
2024-07-31,1.7935194242864354,1.217952155201312,1.5296160182691416,1.4661277870119729
2024-08-30,2.2143978455858826,1.4998674248260424,1.873564965276296,1.795800791542427
2024-09-30,2.458647056675551,1.5604294443173452,1.935518093088665,1.8204684939800573
2024-10-31,2.688695542742034,1.6643506505650243,2.102461720641671,1.885813002784211
2024-11-29,2.5207168092978307,1.6031777790182318,2.0039801519152407,1.8495931953613207
2024-12-31,2.5579337741510475,1.5817380437197581,2.011264426846786,1.852515875211314
2025-01-27,2.78874631315471,1.6556304655119465,2.1448607662449013,1.9062294507369606
2025-02-28,2.8279784727174535,1.6891132736954135,2.1932508530548778,1.9262597918319544
2025-03-31,2.8759854630815207,1.6394676947581186,2.1885714360527633,1.9224859717556417
2025-04-30,3.1049205989769915,1.7094875016271491,2.323260624863913,2.028121979370005
2025-05-30,3.3859231392412426,1.778537242123069,2.459213287994928,2.1468037068090218
2025-06-30,3.7125577872251463,1.8766428303020228,2.6081838008866027,2.276849543354513
2025-07-31,3.9281900174337867,2.015701493622596,2.7904607907428303,2.435970722228912
2025-08-29,4.016924093925487,2.01609596610896,2.800785704570583,2.4449839962650066
2025-09-30,4.159815179074998,2.0578170637149173,2.8922729758469585,2.5248490547618645
2025-10-31,4.208050690645517,2.0334251388802698,2.889740573093325,2.522638359315002
2025-11-28,4.1741818286944525,2.038098687273603,2.9060363382600984,2.5368639692838886
