dt,exI_base,scaleA,scaleB,scaleC,exI_A,exI_B,exI_C
2018-01-31,0.008457993739792065,1.0,1.0,1.0,0.008457993739792065,0.008457993739792065,0.008457993739792065
2018-02-28,0.012013078796570043,1.0,1.0,1.0,0.012013078796570043,0.012013078796570043,0.012013078796570043
2018-03-30,0.0074648798114851506,1.0,1.0,1.0,0.0074648798114851506,0.0074648798114851506,0.0074648798114851506
2018-04-27,0.03629647780295046,1.0,1.0,1.0,0.03629647780295046,0.03629647780295046,0.03629647780295046
2018-05-31,0.016416212214483764,1.0,1.0,1.0,0.016416212214483764,0.016416212214483764,0.016416212214483764
2018-06-29,0.014387614895598012,1.0,1.0,1.0,0.014387614895598012,0.014387614895598012,0.014387614895598012
2018-07-31,0.0011615005667671707,1.0,1.0,1.0,0.0011615005667671707,0.0011615005667671707,0.0011615005667671707
2018-08-31,-0.0012365353022121169,1.0,1.0,1.0,-0.0012365353022121169,-0.0012365353022121169,-0.0012365353022121169
2018-09-28,0.004075831698967081,1.0,1.0,1.0,0.004075831698967081,0.004075831698967081,0.004075831698967081
2018-10-31,0.03574218908298306,1.0,1.0,1.0,0.03574218908298306,0.03574218908298306,0.03574218908298306
2018-11-30,0.007178921126980202,1.0,1.0,1.0,0.007178921126980202,0.007178921126980202,0.007178921126980202
2018-12-28,0.009714275030631502,1.0,1.0,1.0,0.009714275030631502,0.009714275030631502,0.009714275030631502
2019-01-31,-0.029187716150152532,1.0,0.5,0.5,-0.029187716150152532,-0.014593858075076266,-0.014593858075076266
2019-02-28,-0.009984300780718033,0.7102005828763867,0.5,0.5,-0.00709085623407911,-0.004992150390359017,-0.004992150390359017
2019-03-29,0.009896798944500636,0.6851712317132015,0.5,0.5,0.006781001922821413,0.004948399472250318,0.004948399472250318
2019-04-30,0.027829983131192275,0.6791538755324444,0.5,0.5,0.018900840899551786,0.013914991565596137,0.013914991565596137
2019-05-31,0.00667024829641273,0.7544662732831778,0.5,0.5,0.005032477374067978,0.003335124148206365,0.003335124148206365
2019-06-28,0.007573492159194516,0.7553411070691666,0.5,0.5,0.0057205699519056385,0.003786746079597258,0.003786746079597258
2019-07-31,-0.008919686012356636,0.760715202715442,0.5,0.5,-0.006785340753047971,-0.004459843006178318,-0.004459843006178318
2019-08-30,0.015934849446774344,1.0,0.5,0.5,0.015934849446774344,0.007967424723387172,0.007967424723387172
2019-09-30,-0.00800514794059777,1.0,1.0,1.0,-0.00800514794059777,-0.00800514794059777,-0.00800514794059777
2019-10-31,0.004353132882743093,1.0,1.0,1.0,0.004353132882743093,0.004353132882743093,0.004353132882743093
2019-11-29,-0.012373190116602983,1.0,1.0,1.0,-0.012373190116602983,-0.012373190116602983,-0.012373190116602983
2019-12-31,-0.010625639797306604,1.0,0.5,0.5,-0.010625639797306604,-0.005312819898653302,-0.005312819898653302
2020-01-23,-0.018837305279826,1.0,1.0,1.0,-0.018837305279826,-0.018837305279826,-0.018837305279826
2020-02-28,0.056836884593286494,1.0,1.0,1.0,0.056836884593286494,0.056836884593286494,0.056836884593286494
2020-03-31,0.04077754990240921,0.5299003385520394,1.0,0.5299003385520394,0.021608037498609324,0.04077754990240921,0.021608037498609324
2020-04-30,0.03903815949097192,0.47206214539963426,1.0,0.47206214539963426,0.018428437321761297,0.03903815949097192,0.018428437321761297
2020-05-29,0.010152348021131144,0.4453455948100764,1.0,0.4453455948100764,0.004521303468189551,0.010152348021131144,0.004521303468189551
2020-06-30,0.026431837516389445,0.48384560308860597,1.0,0.48384560308860597,0.012788928363857493,0.026431837516389445,0.012788928363857493
2020-07-31,0.0064073745749948265,0.5524009954223859,1.0,0.5524009954223859,0.0035394400932712284,0.0064073745749948265,0.0035394400932712284
2020-08-31,-0.014745629358529674,0.7642046727073505,1.0,0.7642046727073505,-0.011268678857799069,-0.014745629358529674,-0.011268678857799069
2020-09-30,0.011379476196430871,0.6910413509109025,1.0,0.6910413509109025,0.007863688603440047,0.011379476196430871,0.007863688603440047
2020-10-30,0.006109507631221825,0.8081330946109763,1.0,0.8081330946109763,0.004937295308568668,0.006109507631221825,0.004937295308568668
2020-11-30,-0.011171566469310966,1.0,1.0,1.0,-0.011171566469310966,-0.011171566469310966,-0.011171566469310966
2020-12-31,-0.0037700301019286814,0.9776826101150374,1.0,0.9776826101150374,-0.0036858928702658937,-0.0037700301019286814,-0.0036858928702658937
2021-01-29,0.027765413012173407,1.0,1.0,1.0,0.027765413012173407,0.027765413012173407,0.027765413012173407
2021-02-26,0.01582490527936765,0.9361093778927088,1.0,0.9361093778927088,0.014813842236279894,0.01582490527936765,0.014813842236279894
2021-03-31,0.02155430905264586,1.0,1.0,1.0,0.02155430905264586,0.02155430905264586,0.02155430905264586
2021-04-30,-0.010296106013374204,0.984418500981392,1.0,0.984418500981392,-0.01013567724763133,-0.010296106013374204,-0.01013567724763133
2021-05-31,-0.00461816796589741,0.8658495741812283,1.0,0.8658495741812283,-0.003998638766769662,-0.00461816796589741,-0.003998638766769662
2021-06-30,-0.021115294098729823,0.930953472285468,1.0,0.930953472285468,-0.01965735635954138,-0.021115294098729823,-0.01965735635954138
2021-07-30,0.019451275345379174,0.7568912978656458,1.0,0.7568912978656458,0.01472250104130608,0.019451275345379174,0.01472250104130608
2021-08-31,-0.0124039826181295,0.8301091485856698,1.0,0.8301091485856698,-0.010296659450206925,-0.0124039826181295,-0.010296659450206925
2021-09-30,-0.013558906765833083,0.8390102155457531,1.0,0.8390102155457531,-0.011376061288166385,-0.013558906765833083,-0.011376061288166385
2021-10-29,0.0186313907842222,1.0,1.0,1.0,0.0186313907842222,0.0186313907842222,0.0186313907842222
2021-11-30,0.026077784327050775,0.855993202704613,1.0,0.855993202704613,0.022322406125552353,0.026077784327050775,0.022322406125552353
2021-12-31,0.008394619946598805,0.7164521631679143,1.0,0.7164521631679143,0.006014343619713235,0.008394619946598805,0.006014343619713235
2022-01-28,-0.030771129358330554,0.8699057089112838,1.0,0.8699057089112838,-0.02676798109845936,-0.030771129358330554,-0.02676798109845936
2022-02-28,0.018667870371044254,0.6794386451169192,1.0,0.6794386451169192,0.012683672552120587,0.018667870371044254,0.012683672552120587
2022-03-31,0.024981803469386665,0.6694818076922676,1.0,0.6694818076922676,0.016724862946097947,0.024981803469386665,0.016724862946097947
2022-04-29,0.02059140265197784,0.6924402840275644,1.0,0.6924402840275644,0.01425831670086148,0.02059140265197784,0.01425831670086148
2022-05-31,-0.02518866979668208,0.6874885728838913,1.0,0.6874885728838913,-0.017316922651364537,-0.02518866979668208,-0.017316922651364537
2022-06-30,0.01980771860778354,0.6049676787929604,1.0,0.6049676787929604,0.01198302954833494,0.01980771860778354,0.01198302954833494
2022-07-29,0.037107645140077875,0.5824393172660438,1.0,0.5824393172660438,0.021612951500737585,0.037107645140077875,0.021612951500737585
2022-08-31,0.039632540903518296,0.6964132774940233,1.0,0.6964132774940233,0.027600627706035115,0.039632540903518296,0.027600627706035115
2022-09-30,0.0031149090940795245,0.6328011097260836,1.0,0.6328011097260836,0.001971117931429393,0.0031149090940795245,0.001971117931429393
2022-10-31,0.004568883924821236,0.6153071467941728,1.0,0.6153071467941728,0.0028112669318155164,0.004568883924821236,0.0028112669318155164
2022-11-30,0.014236500754062527,0.6088570572624729,1.0,0.6088570572624729,0.008667993954833485,0.014236500754062527,0.008667993954833485
2022-12-30,0.0007114675173631735,0.9435132451127578,1.0,0.9435132451127578,0.0006712790260996452,0.0007114675173631735,0.0006712790260996452
2023-01-31,0.008916729093587213,0.8458435111709861,1.0,0.8458435111709861,0.0075421574446802924,0.008916729093587213,0.0075421574446802924
2023-02-28,-0.0038822987436296485,1.0,1.0,1.0,-0.0038822987436296485,-0.0038822987436296485,-0.0038822987436296485
2023-03-31,0.030531253667484992,1.0,1.0,1.0,0.030531253667484992,0.030531253667484992,0.030531253667484992
2023-04-28,0.01453089181869604,1.0,1.0,1.0,0.01453089181869604,0.01453089181869604,0.01453089181869604
2023-05-31,-0.002595699015694179,1.0,1.0,1.0,-0.002595699015694179,-0.002595699015694179,-0.002595699015694179
2023-06-30,0.0111695432615158,1.0,1.0,1.0,0.0111695432615158,0.0111695432615158,0.0111695432615158
2023-07-31,-0.0007271453536738665,1.0,1.0,1.0,-0.0007271453536738665,-0.0007271453536738665,-0.0007271453536738665
2023-08-31,0.0009511254549486969,1.0,1.0,1.0,0.0009511254549486969,0.0009511254549486969,0.0009511254549486969
2023-09-28,-0.008526424215621008,1.0,1.0,1.0,-0.008526424215621008,-0.008526424215621008,-0.008526424215621008
2023-10-31,0.013247281495361744,1.0,1.0,1.0,0.013247281495361744,0.013247281495361744,0.013247281495361744
2023-11-30,0.010857736925957772,1.0,1.0,1.0,0.010857736925957772,0.010857736925957772,0.010857736925957772
2023-12-29,0.014692881354489817,1.0,1.0,1.0,0.014692881354489817,0.014692881354489817,0.014692881354489817
2024-01-31,-0.017168136862531297,1.0,1.0,1.0,-0.017168136862531297,-0.017168136862531297,-0.017168136862531297
2024-02-29,0.013955775091242413,1.0,1.0,1.0,0.013955775091242413,0.013955775091242413,0.013955775091242413
2024-03-29,-0.01040193988836198,1.0,1.0,1.0,-0.01040193988836198,-0.01040193988836198,-0.01040193988836198
2024-04-30,0.006288988309142561,1.0,0.5,0.5,0.006288988309142561,0.0031444941545712805,0.0031444941545712805
2024-05-31,0.015991382014190147,1.0,0.5,0.5,0.015991382014190147,0.007995691007095074,0.007995691007095074
2024-06-28,-0.00683258411792235,1.0,0.5,0.5,-0.00683258411792235,-0.003416292058961175,-0.003416292058961175
2024-07-31,0.019958162725287783,1.0,0.5,0.5,0.019958162725287783,0.009979081362643891,0.009979081362643891
2024-08-30,0.014119338445923835,1.0,0.5,0.5,0.014119338445923835,0.007059669222961917,0.007059669222961917
2024-09-30,-0.017077919048406852,1.0,0.5,0.5,-0.017077919048406852,-0.008538959524203426,-0.008538959524203426
2024-10-31,0.019655978525084924,1.0,0.5,0.5,0.019655978525084924,0.009827989262542462,0.009827989262542462
2024-11-29,0.03342041929608224,0.945783596150141,0.5,0.5,0.03160848434669423,0.01671020964804112,0.01671020964804112
2024-12-31,0.006982890795429863,0.7872717496186435,0.5,0.5,0.00549743265391399,0.0034914453977149314,0.0034914453977149314
2025-01-27,0.004739202715503904,0.8699641654722579,0.5,0.5,0.0041229365353972125,0.002369601357751952,0.002369601357751952
2025-02-28,-0.00014785356678435717,0.8771083462055461,0.5,0.5,-0.00012968359744281878,-7.392678339217858e-05,-7.392678339217858e-05
2025-03-31,0.010795913581178457,0.8590037404865853,0.5,0.5,0.00927373014820222,0.005397956790589228,0.005397956790589228
2025-04-30,-0.009326850952976636,1.0,0.5,0.5,-0.009326850952976636,-0.004663425476488318,-0.004663425476488318
2025-05-30,-0.024439731411862013,1.0,0.5,0.5,-0.024439731411862013,-0.012219865705931006,-0.012219865705931006
2025-06-30,0.016786245082230367,1.0,0.5,0.5,0.016786245082230367,0.008393122541115183,0.008393122541115183
2025-07-31,-0.006642102943263395,0.9972917982691986,1.0,0.9972917982691986,-0.006624114788576288,-0.006642102943263395,-0.006624114788576288
2025-08-29,0.0020179972976805335,1.0,0.5,0.5,0.0020179972976805335,0.0010089986488402668,0.0010089986488402668
2025-09-30,0.006342358085461122,0.9942989463832606,1.0,0.9942989463832606,0.006306199961959347,0.006342358085461122,0.006306199961959347
2025-10-31,-0.028097303505484596,1.0,1.0,1.0,-0.028097303505484596,-0.028097303505484596,-0.028097303505484596
2025-11-28,-0.002522994292110947,0.8381727718516928,1.0,0.8381727718516928,-0.002114705119184632,-0.002522994292110947,-0.002114705119184632
2025-12-31,-0.08925961288226282,0.9810531293786783,1.0,0.9810531293786783,-0.08756842254527332,-0.08925961288226282,-0.08756842254527332
