dt,超额净值_w1.0,超额净值_w0.7,超额净值_w0.5
2018-01-31,1.0084577953370186,1.0056480673079098,0.994013675902206
2018-02-28,1.020572481478952,1.0223840738834287,1.0100228480402091
2018-03-30,1.0281913277089159,1.026313648192312,1.0070949308034958
2018-04-27,1.0655111194737388,1.083044466572607,1.0766277293024902
2018-05-31,1.083002817904483,1.1087757673299408,1.0993717585450318
2018-06-29,1.0985847590153222,1.1257157536806115,1.1132648098350721
2018-07-31,1.0998606204732846,1.1260157028013074,1.112432308946234
2018-08-31,1.0985004220661814,1.1256522403868203,1.1240800119839716
2018-09-28,1.102977719007044,1.1295727818182741,1.1264768281751087
2018-10-31,1.1424005514999822,1.1413924407873923,1.1347975921881417
2018-11-30,1.150601759953651,1.155388084889561,1.1444879294377952
2018-12-28,1.161779021608618,1.1745079757605115,1.169662293802947
2019-01-31,1.1278693424664799,1.13407713543966,1.1354442639529
2019-02-28,1.1166083778085236,1.1200901024935415,1.1287377444505313
2019-03-29,1.1276592302097668,1.1271370633772835,1.1338483718774943
2019-04-30,1.159041959448926,1.172234119365205,1.160304549846061
2019-05-31,1.1667730986867975,1.1882862566883934,1.1743378220497307
2019-06-28,1.175609668878101,1.2047103431755857,1.1897421245044986
2019-07-31,1.1651235915396454,1.2206922832050264,1.1942416158832259
2019-08-30,1.1836897383826341,1.247469900877783,1.2179683200315488
2019-09-30,1.174213973367,1.2450325616915,1.2100725344235443
2019-10-31,1.1793262726209564,1.2551787038780986,1.2240105826809582
2019-11-29,1.1647342031784698,1.2517749896602208,1.2224604055103987
2019-12-31,1.1523581525285278,1.2311630569484946,1.1957660881586785
2020-01-23,1.1306508301925593,1.1975559662115225,1.1597234757492059
2020-02-28,1.1949134919680662,1.2394812262057224,1.1888525050707808
2020-03-31,1.2436392053159202,1.2579350871692376,1.2042105544283601
2020-04-30,1.2921886358051493,1.3155831110186849,1.2491747398644413
2020-05-29,1.3053073895771652,1.319635660142433,1.239813657273486
2020-06-30,1.3398091448619698,1.364826593197039,1.2766838569669758
2020-07-31,1.3483938509877504,1.3899038898840492,1.3052473044694584
2020-08-31,1.3285109963701218,1.3734748006616921,1.2914598110170938
2020-09-30,1.3436287358579015,1.3967950125979094,1.3161494264004698
2020-10-30,1.351837803961533,1.4045977020577203,1.325287840358638
2020-11-30,1.3367357869381136,1.381047590690988,1.2981951222498624
2020-12-31,1.3316962622154114,1.3834448336792946,1.301916986497725
2021-01-29,1.3686713735372118,1.4208822181334917,1.3373429628120181
2021-02-26,1.390330474496544,1.4565186671123764,1.366096086787048
2021-03-31,1.4202981000554415,1.488767585977993,1.3689968409865285
2021-04-30,1.4056763323120542,1.4701421273104942,1.3586840167346221
2021-05-31,1.3991846611387428,1.4363904491320216,1.3171374959280167
2021-06-30,1.3696409271603787,1.4011759340564034,1.2874436696341856
2021-07-30,1.3962822431105633,1.4126948353136977,1.2968872511757334
2021-08-31,1.3789627443561,1.4132427859910959,1.309405667386569
2021-09-30,1.360265538265279,1.3887083008029666,1.2812704020056571
2021-10-29,1.3856092080154394,1.406873092503049,1.2803106935736166
2021-11-30,1.4217428305310569,1.4541312716044619,1.3398928544063704
2021-12-31,1.4336778604948197,1.4750610003516549,1.3697579912165774
2022-01-28,1.3895573270939796,1.4182165012677346,1.3122588943130526
2022-02-28,1.4154973508283923,1.4687004044523535,1.3643593972597845
2022-03-31,1.4508592347577267,1.5213896671937075,1.4004451133623412
2022-04-29,1.4807344630741495,1.5198948031458817,1.3771634944809852
2022-05-31,1.4434367310791465,1.4762929428525984,1.3326607950160465
2022-06-30,1.472027904064058,1.4675397855434216,1.301256322743814
2022-07-29,1.5266513904653856,1.5174104898709104,1.3421442288302128
2022-08-31,1.5871564677552432,1.5911050853908342,1.4005726682213993
2022-09-30,1.5921004145611624,1.6146251551697606,1.4059235366752754
2022-10-31,1.5993745246065838,1.6531057703081058,1.4472021161045285
2022-11-30,1.6221441116499649,1.6589957240758058,1.4521203027053613
2022-12-30,1.623298320962738,1.6588613232856009,1.448218072539233
2023-01-31,1.6377729068242768,1.6889662922675726,1.4776565478946466
2023-02-28,1.6314145542544591,1.6870526042519667,1.4752547892292465
2023-03-31,1.6812236856453817,1.7372108781401883,1.4977001005209438
2023-04-28,1.705653343323481,1.7649242910427667,1.5124534276374961
2023-05-31,1.7012259687343305,1.7437542166382087,1.5007452375473262
2023-06-30,1.7202278817767347,1.7465946132125518,1.513260184376324
2023-07-31,1.7189770314029273,1.766103819940504,1.5284626258291232
2023-08-31,1.720611820753879,1.787155879691931,1.5507132233926453
2023-09-28,1.7059411248422927,1.7584902452126772,1.5346229972615735
2023-10-31,1.7285400965024298,1.7906445815884402,1.5641043384643065
2023-11-30,1.7473084037696942,1.8148404066950823,1.5801689239420875
2023-12-29,1.7729813655684952,1.8769402257112229,1.6304930667264612
2024-01-31,1.742542602074518,1.864015979493535,1.6274070011698716
2024-02-29,1.766861490359139,1.8641864907746049,1.6149370608099847
2024-03-29,1.7484823091218469,1.8629083858074964,1.6275010043335947
2024-04-30,1.7594785003107458,1.8796301174092436,1.6359230878307987
2024-05-31,1.7876150096901549,1.9288254967323997,1.6680937094704194
2024-06-28,1.7754009727558,1.900726912836442,1.6339929710049517
2024-07-31,1.8108345802864974,1.9289262398140894,1.651979382326387
2024-08-30,1.836402461699534,1.8762990728068922,1.6238120911027643
2024-09-30,1.8050405241607153,1.7802240886330196,1.508091847716154
2024-10-31,1.8405203625491784,1.8100201461415928,1.5283801183322387
2024-11-29,1.9020312548126697,1.8602017123925987,1.566799637789385
2024-12-31,1.9153128471629082,1.9001093429590716,1.5872755298181613
2025-01-27,1.92438988237717,1.879870160869695,1.5701077239905765
2025-02-28,1.9241056698851622,1.8805846439182892,1.5710497321398795
2025-03-31,1.9448782796847122,1.9135044235761587,1.5989251966284965
2025-04-30,1.9267385672401636,1.918177555216971,1.6127656452610777
2025-05-30,1.8796496033283343,1.8681022140560377,1.5709652888785406
2025-06-30,1.911201765213074,1.9320859927668985,1.6092281679323923
2025-07-31,1.89850768142066,1.8954980321516137,1.575344598221995
2025-08-29,1.902338865122432,1.8827520702322826,1.5682914803759094
2025-09-30,1.9144042714112188,1.8740974179760987,1.5601938616561017
2025-10-31,1.8606147405047848,1.8380578464240789,1.5405919993238308
2025-11-28,1.8559203862089375,1.8057725712091701,1.5056961123489065
2025-12-31,1.690261652960764,1.645447800052434,1.3722592895768542
