dt,LGB主腿,均衡(LGB+15%LowVol),激进(LGB+30%HRP防御)
2018-01-31,0.9448514851137595,0.9444185388169846,0.9481555241880106
2018-02-28,1.0454775551447262,1.0304170019211039,1.0251867486597526
2018-03-30,1.0054771316051172,0.9919216621188981,0.9886833868976248
2018-04-27,1.0270515385844314,1.0089998925352368,1.0085679021692882
2018-05-31,0.9249738457956814,0.9090637269702251,0.9119836220181308
2018-06-29,0.9408825663865433,0.9238282684271176,0.9219613652901256
2018-07-31,0.8670887226368776,0.8558103869886835,0.8527623884076657
2018-08-31,0.8723691857783213,0.8604211949371411,0.8571748658616627
2018-09-28,0.8050429403202722,0.7936365687647299,0.7868499689042074
2018-10-31,0.8819115196896081,0.8619689214578636,0.8469349060439623
2018-11-30,0.8585092810863828,0.8395304992811247,0.8216361886969258
2018-12-28,0.842933189302696,0.8266400796294988,0.8124001254915258
2019-01-31,1.0380045700930118,1.0049521730883617,0.9849291514199231
2019-02-28,1.153624563666266,1.110596394417915,1.0872603716795377
2019-03-29,1.1227711991693958,1.0827007487521179,1.0598422556343363
2019-04-30,1.107065769879428,1.0625378321618,1.032631990281823
2019-05-31,1.1275463292450516,1.0825070990331105,1.0541955572457447
2019-06-28,1.1231168629021908,1.0782221066169626,1.050351245512871
2019-07-31,1.0976994243792875,1.0514116456487295,1.030231740132883
2019-08-30,1.119040262426789,1.0699566874562607,1.0485543428136859
2019-09-30,1.1226676965702513,1.0733566285000948,1.052608859982825
2019-10-31,1.0985231606984769,1.0506657277421407,1.0327714045887824
2019-11-29,1.1848711660161666,1.1285812807836417,1.1111439580477371
2019-12-31,1.1689287782781832,1.1122103899188012,1.1007627803834976
2020-01-23,1.1556310266549705,1.092651508496391,1.0848000065956196
2020-02-28,1.1765835168106462,1.1073813084154251,1.0870225014943404
2020-03-31,1.212838285689554,1.1373436581187137,1.1187483142983172
2020-04-30,1.2570120862670922,1.1738714254384501,1.1513304076025608
2020-05-29,1.337553986829421,1.243887004010056,1.223944998781148
2020-06-30,1.5361841687474613,1.4248035565571198,1.3984439195211948
2020-07-31,1.6313741038752292,1.5105045652123414,1.4757898664605635
2020-08-31,1.5369119373500133,1.424474963439804,1.390202083783901
2020-09-30,1.5621601624534578,1.4422114498143035,1.4053693046908968
2020-10-30,1.5927838117127202,1.4766435896322938,1.4405383888994117
2020-11-30,1.5462338852085447,1.4320118011046867,1.405414451399142
2020-12-31,1.4163429191102446,1.3174976074079088,1.3076397171692966
2021-01-29,1.4410761817133666,1.345307289128049,1.3322212341709168
2021-02-26,1.4716286568393135,1.3808252732799113,1.3608779128380761
2021-03-31,1.532425135263339,1.4285004168178244,1.4064161414136662
2021-04-30,1.6132372493295537,1.4978470738962353,1.4718962657820231
2021-05-31,1.6998548873868151,1.5669512101447791,1.5299756915740887
2021-06-30,1.6824417070212827,1.5452583390526895,1.500832892878774
2021-07-30,1.7720435120560558,1.627997372881337,1.5726436810986362
2021-08-31,1.6782984865595325,1.5631285404686144,1.5229488747672566
2021-09-30,1.664846708329255,1.5463108721040926,1.5054018344777935
2021-10-29,1.8696603881408447,1.7188454846856556,1.655634554362758
2021-11-30,1.8754172001025422,1.7398187748593055,1.681485406727548
2021-12-31,1.6865177418931105,1.5818307384581844,1.5276045089135055
2022-01-28,1.7340139364576792,1.6273104536056497,1.5705734338525728
2022-02-28,1.6398525404956625,1.5452319257250304,1.4867117778503145
2022-03-31,1.3958825079257315,1.3300367775590045,1.2914534262081832
2022-04-29,1.5856362345009662,1.494695474717473,1.4363130946597547
2022-05-31,1.7356994018314738,1.625631627995796,1.56124429407306
2022-06-30,1.8586575326231172,1.7239828098029242,1.6242200950758883
2022-07-29,1.8169009140036152,1.6890034348341079,1.5889924600136558
2022-08-31,1.6869920540996435,1.5725753579328576,1.478407073597927
2022-09-30,1.767422668792048,1.6339363592321325,1.525784398861519
2022-10-31,1.855328108828885,1.72559486665914,1.6152208041574274
2022-11-30,1.7676606812057987,1.6498763331811066,1.5501789331941624
2022-12-30,1.9459498611594028,1.8044856800776878,1.68835440190815
2023-01-31,2.032650245994366,1.8799360887444037,1.7516168564270638
2023-02-28,1.999736414473507,1.8489927969180429,1.7249528028998822
2023-03-31,1.923036805957683,1.7878902753279062,1.6730232172369919
2023-04-28,1.9869019178372058,1.8370054732879175,1.7006803022007815
2023-05-31,2.0611828616043795,1.8956308026269029,1.7469052952185895
2023-06-30,2.1501009976212027,1.9832314621948501,1.817098435286652
2023-07-31,2.13076413410638,1.9539194722586792,1.7775941266527284
2023-08-31,2.1468763234375006,1.9682959917190967,1.7866780272135296
2023-09-28,2.1622429745436573,1.9752577730862793,1.7846633124929734
2023-10-31,2.2980259916628736,2.1087336477105865,1.89814474049069
2023-11-30,2.3179498437534365,2.1185221535063254,1.9017381996002423
2023-12-29,1.8516958418833354,1.736688751464105,1.5809246568956392
2024-01-31,1.7902835666385215,1.7026872629262537,1.5828240120485153
2024-02-29,2.0001637799215275,1.8747746394209213,1.7150819575956644
2024-03-29,1.9276852843072652,1.8257135713178012,1.6848247760338153
2024-04-30,1.937187407509789,1.834694164584678,1.690181697523806
2024-05-31,1.7737191058148334,1.6860818241450442,1.5600443836019104
2024-06-28,1.8098316418537572,1.720385978849728,1.5853987400752032
2024-07-31,1.7935194242864354,1.697662628806589,1.5559467474724156
2024-08-30,2.2143978455858826,2.0829006405814683,1.906298586732363
2024-09-30,2.458647056675551,2.2788240975938416,2.053504335277505
2024-10-31,2.688695542742034,2.475690689878607,2.2122046437501095
2024-11-29,2.5207168092978307,2.343348947916884,2.106829914456886
2024-12-31,2.5579337741510475,2.365276506898742,2.114255596440722
2025-01-27,2.78874631315471,2.543929676733659,2.2600789199523974
2025-02-28,2.8279784727174535,2.5839956351953894,2.293204727028335
2025-03-31,2.8759854630815207,2.615548117331496,2.3068803380409073
2025-04-30,3.1049205989769915,2.8062959177332325,2.456150222582777
2025-05-30,3.3859231392412426,3.029782801656331,2.6311296382258313
2025-06-30,3.7125577872251463,3.297292315480564,2.845755179782828
2025-07-31,3.9281900174337867,3.481646761029049,3.018392905332495
2025-08-29,4.016924093925487,3.5411969371087184,3.073162136614173
2025-09-30,4.159815179074998,3.662727194803241,3.1589018281300736
2025-10-31,4.208050690645517,3.697797901398397,3.16422702869195
2025-11-28,4.1741818286944525,3.664881881407158,3.1591192821191503
